ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event
92276;Andrew Steele;F;42;163;50;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Women's 10,000 metres
97338;Liu Guozhen;F;42;172;63;Greece;GRE;2016 Summer;2016;Summer;Rio de Janeiro;Archery;Archery Women's Individual
121125;Mikls Kollr;F;42;164;50;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
121125;Vanessa Valeryevna Kolodinskaya;F;42;164;50;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
94527;Yang Sheng-Hsiung;F;42;175;79;Georgia;GEO;2016 Summer;2016;Summer;Rio de Janeiro;Archery;Archery Women's Team
94527;"Yijun ""Tom"" Feng";F;42;175;79;Georgia;GEO;2016 Summer;2016;Summer;Rio de Janeiro;Archery;Archery Women's Individual
40473;Ami Nakamura;M;42;170;74;Italy;ITA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Air Pistol, 10 metres
80134;Kumi Otoshi;M;42;190;75;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
22539;Martin Kargl;M;42;171;57;Colombia;COL;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's Marathon
75586;Mohamad Siraj Tamim;M;42;183;74;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
75586;Sione Vaveni Talia'uli;M;42;183;74;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
80134;Tsutsumi Otomo;M;42;190;75;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
40473;Yurika Nakamura;M;42;170;74;Italy;ITA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Free Pistol, 50 metres
69400;Hubert Sonnek;F;43;167;60;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Table Tennis;Table Tennis Women's Team
69400;Karl Hilding Sonne (Pettersson-);F;43;167;60;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Table Tennis;Table Tennis Women's Singles
67376;Song Weigang;F;43;163;58;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Table Tennis;Table Tennis Women's Singles
67376;Song Weilong;F;43;163;58;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Table Tennis;Table Tennis Women's Team
24864;Weronika Nowakowska (-Ziemniak);F;43;173;64;Norway;NOR;2016 Summer;2016;Summer;Rio de Janeiro;Cycling;Cycling Women's Mountainbike, Cross-Country
31296;"Alfred ""Fred"" Markus";M;43;180;76;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Mixed Multihull
30245;Galina Yuryevna Skiba;M;43;185;85;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
29041;"Gregory Curtis ""Greg"" Bell";M;43;186;86;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
30245;Jesper Skibby;M;43;185;85;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
85384;"Michael ""Mike"" Hughes";M;43;191;87;Canada;CAN;2016 Summer;2016;Summer;Rio de Janeiro;Tennis;Tennis Men's Doubles
29041;Rachel Beliveau;M;43;186;86;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
45909;"Timothy Paul ""Tim"" Young";M;43;175;73;Japan;JPN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
45909;"Timothy R. ""Tim"" Young";M;43;175;73;Japan;JPN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
20616;Viorica Doina Ionic;M;43;170;75;Malaysia;MAS;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Men's Individual
70521;Anne Solange Koulinka (-Ipolo);F;44;169;68;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Skeet
10900;"Gabriel Bryan ""Gabe"" Gardner";F;44;160;45;Italy;ITA;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Women's Marathon
122145;John Talbott Donoghue;F;44;160;50;Canada;CAN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
72902;Berith Agneta Eriksson;M;44;174;118;Slovenia;SLO;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
101684;Ion Suru;M;44;179;73;Portugal;POR;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Men's Windsurfer
53839;"Johannes ""Hans"" Schichtl";M;44;175;73;Mongolia;MGL;2016 Summer;2016;Summer;Rio de Janeiro;Archery;Archery Men's Individual
36954;Joseph Bertham Freeman;M;44;189;80;Sweden;SWE;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
24679;Juha Matti Ahokas;M;44;175;75;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Men's Individual
30224;Lai Runming;M;44;182;80;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
36954;Nicole L. Freedman;M;44;189;80;Sweden;SWE;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
33453;Oleg Borisovich Sukhoruchenko;M;44;193;82;Ireland;IRL;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
33453;Peauope Suli;M;44;193;82;Ireland;IRL;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Team
83977;Daniela Brtov (-Breckov);F;45;168;62;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Team
29347;Istvn Varga;F;45;168;57;Belgium;BEL;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
83977;Joanna Danuta Bartosz (-Bronarska);F;45;168;62;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
125797;Agberto Correa de Matos;M;45;178;92;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
19284;Karl Magnus Augustson;M;45;173;77;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Men's Individual
76663;Arnold Gartmann;F;46;163;60;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Women's Individual
39939;Alex Sobers;M;46;169;70;Tunisia;TUN;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Mixed Multihull
80456;Alois Bchel;M;46;174;80;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Team
92881;Cord Hermann Mysegaes;M;46;173;93;Italy;ITA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
37972;Eva Kolnsk;M;46;182;72;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
37972;Kadra Mohamed Dembil;M;46;182;72;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
2975;Leonid Nikolayevich Spiridonov;M;46;180;90;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Free Pistol, 50 metres
38594;Nauris Skrausti;M;46;172;64;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 50 kilometres Walk
2975;Rocco Spinola;M;46;180;90;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Air Pistol, 10 metres
80456;Vinzenz Buchberger;M;46;174;80;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
129726;Conrad Rochat;F;47;169;66;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
109476;John Howard Louis Lecompte;F;47;163;57;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Air Pistol, 10 metres
107257;Kim Hyeon-Ju;F;47;169;63;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
107257;Kim Hyeon-Jun;F;47;169;63;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
28466;Park Dae-Jong;F;47;168;93;Switzerland;SUI;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Air Pistol, 10 metres
28466;Park Dong-Cheol;F;47;168;93;Switzerland;SUI;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Sporting Pistol, 25 metres
109476;Rafael Argelio Lecuona Asencio;F;47;163;57;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Sporting Pistol, 25 metres
129726;Roger Rochard;F;47;169;66;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
127631;Alfredo Santoro;M;47;186;81;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
66736;"Arne ""Aki"" Tammisto";M;47;187;83;Argentina;ARG;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
66736;Karel Tammjrv;M;47;187;83;Argentina;ARG;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
127631;Nathalie Santer (-Bjrndalen);M;47;186;81;Netherlands;NED;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
97457;Eugne Auguste Antoine Duflot;F;48;158;56;Mexico;MEX;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
61256;Glenn Read;F;48;172;58;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
61256;Lucia Recchia (-Wieser);F;48;172;58;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Team
79803;Douglas Gilbert Lamb;M;48;178;84;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
66123;Pekka Antero Leimu;M;48;170;65;Canada;CAN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
66123;Simo Mikko Yrjn Leinonen;M;48;170;65;Canada;CAN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
48283;Fanny Horta;M;49;182;86;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
71543;Osamu Kodama;M;49;171;84;Dominican Republic;DOM;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
48283;Otto Frei;M;49;182;86;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
1858;Petra Majdi;M;49;178;95;Individual Olympic Athletes;IOA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Double Trap
101806;Vasile igna;M;49;183;86;Cuba;CUB;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Skeet
35027;John-John Dohmen;F;50;176;58;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
79196;Olaf Hense;F;50;163;51;Canada;CAN;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Trap
35027;Shingo Doi;F;50;176;58;Spain;ESP;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
24860;Gunnar Fredrik Hjer;M;50;185;95;Sweden;SWE;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Double Trap
18416;Melissa Jane Ingram;M;50;175;74;Colombia;COL;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
118991;Anthony Henri Vanden Borre;F;51;159;57;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
118991;"Johan Wilhelm ""Hans"" van Wijnen";F;51;159;57;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
78913;"Karl Johan Valdemar ""Valle"" Rautio";F;51;170;65;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
83322;Alexander Viggo Jensen;M;51;170;70;Panama;PAN;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Free Pistol, 50 metres
26656;Anna Maria Svrd-Le Moine (Bergstrm-);M;51;176;90;Angola;ANG;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
19840;Gerrit Jan Arnold Jannink;M;51;165;72;Australia;AUS;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
14388;"Patrick ""Paddy"" McClure";M;51;176;95;Peru;PER;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
23290;Per Lennart Harald Sundberg;M;51;182;100;Portugal;POR;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Air Pistol, 10 metres
23290;Roland Surrugue;M;51;182;100;Portugal;POR;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Free Pistol, 50 metres
83322;Torben Alstrup Jensen;M;51;170;70;Panama;PAN;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Air Pistol, 10 metres
73175;Katie Louise Archibald;F;52;168;63;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
73175;Micha Kubiak;F;52;168;63;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
2112;Ricardo Acua;M;52;183;83;Individual Olympic Athletes;IOA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Skeet
124925;an Tabak;M;53;171;69;Belgium;BEL;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
56510;Elena Roxana Napr;M;53;186;92;Fiji;FIJ;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
119050;Auguste Savonnet;F;54;170;73;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Women's Trap
135019;"Alexander John ""Alex"" Groza";M;54;NA;NA;Palestine;PLE;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
90052;Haithem Abid;M;54;174;67;Morocco;MAR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
129963;Errol Stewart;M;60;171;70;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
129963;"Stuart Grosvenor ""Stu"" Stickney";M;60;171;70;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
15436;Carlos Alberto Tramtolo Navarro;F;62;157;48;New Zealand;NZL;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
